Order Number,Line Item,ProductKey,Quantity
371018,7,2124,1
371019,1,2506,2
371019,2,1590,1
371019,3,1615,2
371019,4,2093,2
372000,1,148,3
372000,2,1620,1
372000,3,825,3
372001,1,1286,1
372001,2,1669,3
372002,1,1299,7
372003,1,1604,3
372003,2,141,4
372003,3,83,2
372004,1,922,9
372005,1,411,3
372005,2,75,4
372005,3,1620,3
372005,4,2366,5
372005,5,1652,8
372005,6,1614,8
372006,1,125,2
372007,1,1148,4
372008,1,183,1
372008,3,1665,1
372010,1,90,7
372011,1,1572,1
372012,1,468,1
372012,2,1560,6
372012,3,1094,2
372012,4,171,4
372012,5,2265,2
372013,1,1259,2
372016,1,1581,2
372016,2,6,3
373000,1,2509,3
373000,2,716,3
373002,1,1859,5
373003,1,67,3
373004,1,1765,3
373005,1,342,2
373005,2,1073,1
373007,1,103,2
373007,2,1455,5
373007,3,1902,2
373008,1,535,3
373008,2,2089,3
373008,3,1612,3
373008,4,65,2
373009,1,1589,4
373010,1,2492,6
373010,2,2288,8
373010,3,56,2
373011,1,440,2
374000,1,737,5
374000,2,1735,3
374000,3,103,3
374000,5,81,2
374000,6,1624,1
374001,1,1429,1
374001,2,545,1
374002,1,1991,8
374002,2,1667,8
374002,3,2098,3
374002,4,1695,1
374003,1,1606,1
374005,1,1197,2
374006,1,1622,6
374007,1,1631,3
374008,1,1217,4
374009,1,538,3
374010,1,1632,3
374010,2,1048,1
374010,3,1681,7
374010,4,2104,4
374010,5,1673,2
374010,6,1206,2
374010,7,961,5
374011,1,1256,8
374012,1,1280,1
374012,2,1276,1
374012,3,2454,5
374012,4,2108,1
374013,1,533,5
374013,2,1067,10
374013,3,1577,6
374015,1,107,7
374016,1,9,5
374017,1,1630,1
374018,1,1615,5
374018,2,2075,2
374019,1,1109,3
375000,1,1636,1
375000,2,88,7
375000,3,2515,1
376000,1,69,1
376001,1,131,1
376001,2,1604,1
376003,1,425,3
376003,2,2112,4
376003,3,1297,1
376003,4,1806,2
376004,1,1635,6
376005,1,1352,3
376005,2,2114,3
376005,3,418,2
376005,4,2096,3
377000,1,1625,6
377000,2,1730,4
377000,3,681,2
377000,4,1675,7
377000,5,422,2
377002,1,1612,1
377002,2,858,1
377002,3,1595,2
377003,1,1942,6
377004,1,460,4
377004,2,740,3
377005,1,1634,1
377006,1,1432,1
377006,2,1580,1
377006,3,1462,1
377006,4,1936,1
377006,5,1007,1
377006,6,320,1
377007,1,1665,1
377007,2,446,3
377007,3,1176,4
378000,1,170,1
378000,2,1646,10
378000,3,1572,1
378001,1,2467,3
378001,2,1696,2
378002,1,1578,1
378002,2,1304,1
378003,1,1609,1
378003,2,2128,8
378003,3,1649,5
378004,1,2504,1
378004,2,1646,7
378005,1,137,9
378005,2,2090,2
378005,3,2068,2
378005,4,125,4
378005,5,137,3
378005,6,376,1
378005,7,178,5
378006,1,1266,7
378006,2,1621,2
378007,1,1582,1
378007,2,1634,6
378007,3,424,4
378008,1,1619,2
378009,1,336,3
378009,2,2383,1
378009,3,2248,5
378010,1,145,3
378010,2,2387,7
379000,1,443,4
379001,1,1253,1
379001,2,1695,8
379001,3,1038,8
379001,4,1597,1
379001,5,1589,2
379001,6,1182,5
379002,1,106,2
379002,2,386,2
379002,3,1654,3
379004,1,321,2
379005,1,1766,4
379005,2,1558,3
379005,3,1969,3
379005,4,1453,4
379008,1,76,3
379008,2,1648,1
379009,1,375,4
379009,2,651,3
379011,1,1280,3
379011,2,1292,1
379011,3,1620,4
380000,1,1676,3
380000,2,2094,5
380001,1,641,3
380001,2,1069,3
380001,3,1687,3
380003,1,172,3
380004,1,1114,1
380004,2,272,1
380004,3,1697,2
380005,1,1705,2
380005,2,154,7
380006,1,1969,7
381001,1,2397,3
381001,2,2398,1
381002,1,1283,1
381002,2,1345,1
381002,3,2510,2
381003,1,1619,6
381003,2,2079,1
381004,1,960,2
381004,2,143,4
381005,1,1946,10
381006,1,1029,1
381007,1,1246,1
381007,2,97,2
381007,3,1590,6
381007,4,1779,7
381008,1,1707,2
381009,1,2086,4
381010,1,1671,3
381010,2,1604,1
381010,3,1836,1
381011,1,450,1
381012,1,1759,2
381012,2,1684,7
381013,1,1583,1
381013,2,584,8
383000,1,1623,3
383001,1,994,1
383002,1,1145,1
383002,2,75,2
383002,3,775,1
383003,1,959,3
383004,1,1248,3
383004,2,2500,1
383004,3,185,3
384000,1,144,5
384000,2,78,4
384000,4,1825,1
384001,1,301,2
384001,2,1695,2
384002,1,61,2
384002,2,2105,1
384003,1,420,4
384004,1,1150,2
384004,2,1578,6
384005,1,1597,4
384006,1,752,1
384006,2,434,1
384006,3,124,8
384006,4,2382,1
384007,1,494,3
384007,2,1633,2
385000,1,1586,8
385000,2,1427,5
385000,3,166,3
385002,1,424,2
385002,2,53,2
385003,1,1928,3
385004,1,2162,1
385005,1,2120,3
385006,1,135,4
385006,2,1155,1
385007,1,1112,8
385008,1,1195,1
385009,1,6,1
385009,3,123,5
385010,1,61,6
385010,2,1000,3
386000,1,443,2
386000,2,434,2
386000,3,167,1
386000,4,516,1
386001,1,1996,2
386001,2,1577,1
386002,1,581,3
386003,1,1646,1
386004,1,1222,3
386005,1,1600,1
386005,2,237,1
386006,1,1271,2
386006,2,1585,1
386006,3,1637,3
386006,4,1587,1
386006,5,423,1
386008,1,313,2
386008,2,124,7
386008,3,1634,3
386008,4,448,4
386009,1,1859,4
386009,2,156,3
386009,3,1896,1
386009,4,2107,3
386010,1,155,6
386010,2,1638,1
386010,3,1947,3
386010,4,125,1
386011,1,54,6
386011,2,101,2
386011,3,461,3
387000,1,1729,2
387000,2,1599,3
387000,3,1622,1
387000,4,55,6
387001,1,39,5
387002,1,429,2
387002,2,1377,6
387003,1,144,5
387003,2,1251,2
387003,3,691,1
387003,4,190,1
387003,5,1656,2
387003,6,1425,4
387003,7,143,9
387004,1,709,6
387004,2,962,1
387005,1,1816,3
387005,2,982,2
387005,3,442,1
387006,1,1576,1
387007,1,1264,2
387007,2,1529,3
387007,3,1612,4
388000,1,928,6
388000,2,1045,7
388000,3,1627,6
388001,1,1616,1
388002,1,460,2
388002,2,489,2
388003,1,90,8
388003,2,945,1
388004,1,2104,1
388004,2,618,3
388005,1,1601,4
388005,2,2388,9
388006,1,1393,3
388006,2,1627,2
388006,3,133,1
388007,1,459,4
388008,1,640,6
388008,2,1665,2
388008,3,665,2
388008,4,158,1
388008,5,96,3
388009,1,1585,3
388010,1,827,4
388010,2,1139,1
388011,1,454,5
388011,2,50,1
388011,3,1653,2
388011,4,2094,1
388011,5,1692,3
388011,6,2106,7
388011,7,1211,2
388012,1,2113,1
388012,2,69,2
388013,1,1657,1
388014,1,1586,1
388014,2,1786,4
388014,3,2501,4
390000,1,1581,1
390000,2,2351,2
390001,1,189,2
390001,2,1617,7
390001,3,175,2
390001,4,186,2
390001,6,1605,1
390002,1,537,3
390002,2,1636,2
390002,3,1581,1
390002,4,1792,2
390002,5,458,1
390003,1,1635,1
390004,1,152,2
390005,1,1558,3
390005,2,1594,1
391000,1,2108,1
391000,2,143,1
391000,3,1662,2
391001,1,1841,1
391002,1,1636,1
391002,2,1325,1
391003,1,1370,1
391003,2,1280,6
391004,1,1588,3
391004,2,69,6
391006,1,1467,1
391006,2,1590,2
391007,1,1705,1
391007,2,138,1
392000,1,1613,3
392000,2,1490,1
392001,1,155,2
392002,1,430,2
392002,2,1168,1
392002,3,144,2
392002,4,2298,2
392003,1,156,8
392004,1,2118,3
392004,2,1441,2
392004,3,1449,2
392004,4,1698,1
392004,5,2006,1
392005,1,1586,1
392005,2,1050,1
392005,3,1100,6
392005,4,1607,9
392006,1,149,6
392006,2,1863,2
392007,1,84,5
392007,2,1573,2
392007,3,185,1
392008,1,1659,3
392009,1,2161,3
392009,2,1387,1
392010,1,1629,5
392010,2,522,1
392010,3,1668,2
392010,4,189,9
392010,5,1522,1
392010,6,455,1
393001,1,2267,7
393001,2,1228,4
393001,3,1593,1
393001,4,1157,5
393002,1,662,9
393003,1,2000,2
393003,2,2102,1
393003,3,1608,9
393004,1,415,3
393004,2,1629,1
393005,1,175,6
393005,2,2511,2
393005,3,1657,3
393005,4,417,2
393006,1,417,2
393006,2,2305,2
393007,1,1763,1
393007,2,121,1
393007,3,2387,7
393007,4,1901,3
393008,1,2038,1
393009,1,2024,1
393010,1,1616,7
393010,2,1477,2
394000,1,979,1
394000,2,113,4
394001,1,1228,5
394001,2,519,8
394001,3,1652,3
394002,1,1695,1
394002,2,1688,2
394003,1,326,2
394003,2,1697,3
394003,3,654,2
394004,1,1417,2
394004,2,1138,1
394004,3,1190,2
394005,1,174,4
394005,2,1712,6
394006,1,1802,6
394007,1,2077,5
395000,1,128,4
395001,1,2089,3
395001,2,1610,1
395001,3,1779,8
395002,1,105,3
395002,2,1621,3
395003,1,2355,2
395003,2,1209,3
395003,3,2,9
395004,1,1291,2
395004,2,2178,2
395004,3,1986,8
395005,1,1630,5
395005,2,1589,5
395006,1,697,2
395006,2,1249,1
395006,3,1990,7
395006,4,1581,1
395007,1,1605,2
395007,2,1603,4
395007,3,2014,6
395008,1,128,2
395009,1,1156,2
395010,1,1076,5
395011,1,1587,1
395011,2,142,2
395011,3,1933,3
395012,1,1784,7
395012,2,1313,3
395014,1,1605,10
397000,1,1649,9
397001,1,1458,6
397001,2,390,1
397002,1,1607,2
397002,2,97,2
397002,3,2012,2
397003,1,955,1
397003,2,1614,1
397003,3,1109,4
397004,1,123,2
397004,2,625,1
397004,3,1641,4
397005,1,1192,10
397005,2,2164,4
397005,3,1432,3
397005,4,1983,4
397005,5,1226,2
397005,6,1697,3
397005,7,1409,5
398000,1,1799,1
398001,1,1588,7
398001,2,1259,8
398001,3,1194,1
398001,4,374,6
398002,1,160,4
398002,2,1612,2
398003,1,31,1
398003,3,439,1
398003,4,1026,3
398004,1,70,2
398004,2,2060,3
398004,3,1736,9
398004,4,84,1
398005,1,1642,5
398005,2,424,3
398005,3,1672,1
398005,4,445,8
398006,1,1274,1
398006,2,1348,4
398006,3,1556,3
398006,4,1525,2
398006,5,326,1
398006,6,1056,1
398006,7,702,3
398007,1,445,5
398007,2,1804,3
399000,1,1633,5
399001,1,1781,10
399002,1,2054,2
399003,1,1631,5
399003,2,93,2
399003,3,1589,2
399003,4,1802,4
399003,5,1576,2
399003,6,103,2
399004,1,1058,3
399006,1,361,7
399007,1,1576,1
399007,2,1543,1
399009,1,735,5
399009,2,73,6
399010,1,1516,1
399010,2,2147,1
399010,3,1624,1
399010,4,1627,4
399010,5,1142,1
399010,6,1424,6
400000,1,138,2
400000,2,71,4
400001,1,2037,1
400001,2,1199,3
400002,1,54,1
400002,2,2019,1
400002,3,1293,4
400002,4,419,8
400003,1,164,8
400003,2,1638,1
400003,3,1331,7
400004,1,1426,10
400004,2,1619,7
400004,3,180,1
400004,4,1837,1
400005,1,1913,9
400006,1,1284,3
400007,1,152,5
400007,2,1420,2
400007,3,181,3
400009,1,1746,2
400010,1,1746,8
400010,2,1664,3
400010,3,965,3
400011,1,458,2
401002,1,1583,2
401002,2,1409,3
401002,3,303,1
401002,4,156,4
401003,1,34,2
401004,1,667,6
401005,1,2044,7
401005,2,501,2
401005,3,400,5
401005,4,58,1
401005,5,1612,6
401005,6,1591,3
401007,1,1494,3
402000,1,1466,1
402000,2,1315,3
402001,1,83,2
402001,2,1647,1
402001,3,112,2
402001,4,1495,5
402002,1,1602,7
402004,1,1134,5
402005,1,2301,7
402005,2,153,2
402006,1,146,3
402006,2,2030,7
402007,1,1632,5
402007,2,1132,2
402007,3,1002,3
402008,1,191,3
402008,2,2110,8
402009,1,154,4
402009,2,1163,6
402010,1,974,3
402011,1,147,4
402011,2,53,2
402012,1,505,8
402012,2,1109,2
402012,3,1512,4
402012,4,1033,8
402013,1,135,3
402013,2,160,6
402013,3,2139,1
402013,4,119,1
404000,1,136,3
404000,2,1258,5
404000,3,1595,1
404000,4,2109,2
404001,1,2153,2
404001,2,1635,1
404002,1,1612,3
404002,2,166,1
404002,3,1545,2
404002,4,471,3
404004,1,2502,1
404004,2,1272,5
404004,3,404,1
404005,1,491,1
404005,2,1456,5
405000,1,1683,2
405001,1,375,8
405001,2,768,2
405001,3,1640,1
405002,1,429,4
405002,2,2105,4
405002,3,1620,2
405002,4,126,2
405002,5,337,7
405002,6,2367,2
405002,7,1639,1
405003,1,1648,3
405003,2,1302,1
405005,1,1608,8
405006,1,1618,1
405006,2,1603,1
405006,3,1599,8
405007,1,1413,2
406000,1,1134,2
406001,1,1684,5
406001,2,100,2
406001,3,1500,3
406001,4,430,3
406001,5,2099,1
406001,6,450,1
406001,7,452,2
406002,1,1791,1
406002,2,64,7
406002,3,1191,1
406003,1,432,10
406003,2,100,3
406004,1,725,1
406005,1,2495,7
406005,2,90,3
406006,1,593,2
406006,2,62,3
406006,3,1584,1
406006,4,979,7
406006,5,135,1
406006,6,1703,2
406007,1,1602,2
406008,1,430,1
406008,2,435,9
406008,3,152,4
406008,4,2421,5
406008,5,1703,3
406008,6,72,4
406008,7,305,4
406009,1,537,3
406010,1,1605,3
406010,2,1593,3
406010,3,2436,2
406010,4,2168,1
407000,1,1369,3
407000,2,150,3
407001,1,1008,3
407001,2,1606,1
407001,3,1446,7
407002,1,1092,8
407003,1,1743,1
407003,2,2033,1
407003,3,114,1
407004,1,1674,2
407004,2,1361,5
407004,3,1667,1
407005,1,597,2
407005,2,2501,2
407005,3,523,1
407005,4,327,3
407005,5,81,6
407006,1,1018,4
407006,2,957,1
407007,1,151,1
407007,2,1845,3
407007,3,1675,1
407007,4,1578,1
407009,1,1863,6
407009,2,385,1
407010,1,1580,1
407010,2,2083,6
407010,3,1693,2
407011,1,596,1
407011,2,446,2
407011,3,146,1
407011,4,774,2
408001,1,1252,5
408001,2,1703,4
408001,3,1093,6
408001,4,1655,5
408002,1,1279,3
408003,1,1584,7
408003,2,95,1
408003,3,1063,10
408003,4,1905,3
408004,1,1679,2
408005,1,449,6
408005,2,1843,1
408005,3,1699,1
408005,4,2057,1
408005,5,1648,1
408006,1,157,3
408006,2,2496,4
408006,3,1826,1
408006,4,1929,3
408007,1,654,2
408008,1,1707,4
408010,1,115,2
409000,1,125,2
409000,2,1789,7
409000,3,120,7
409000,4,1788,1
409001,1,2094,2
409001,2,161,7
409001,3,1598,3
409001,4,2109,3
409002,1,560,7
409003,1,1315,1
409003,2,2508,7
409003,3,107,7
409004,1,1634,1
409004,2,2266,5
409004,3,1643,3
409004,4,1037,1
409005,1,1334,2
409005,2,1995,2
409006,1,2435,1
409006,2,1563,2
409006,3,456,1
409007,1,1743,2
409008,1,47,1
409008,2,1323,2
409008,3,111,7
409009,1,2488,4
409009,2,1576,1
409010,1,2093,2
409011,1,437,5
409011,2,1170,1
409011,3,55,8
409011,4,18,3
409011,6,1654,2
409012,1,1243,5
409013,1,1458,2
409013,2,336,6
409014,1,451,10
409014,2,1514,1
409014,3,1420,1
409015,1,1175,2
409016,1,1402,6
409016,2,864,2
409016,3,71,3
409016,4,2114,8
409018,1,2023,1
409018,2,173,2
409019,1,184,1
409020,1,1977,1
409021,1,1642,1
409022,1,1850,4
410000,1,1605,1
410000,2,2159,2
410000,3,2110,2
410001,1,609,7
410001,2,425,4
411000,1,148,3
411001,1,1063,2
411001,2,58,2
411001,3,1575,1
411001,4,1390,8
411001,5,442,1
411002,1,1616,4
411003,1,86,3
411003,2,2102,2
411003,3,1609,4
411004,1,1603,4
411004,2,1632,2
411004,3,64,1
411005,1,80,1
411005,2,1008,2
411005,3,125,2
411006,1,2090,2
411006,2,99,3
411006,4,93,8
411007,1,1599,3
411007,2,72,1
411007,3,1381,4
411007,4,1297,2
411009,1,1644,4
411009,2,1592,3
411009,3,1976,4
411009,4,61,1
411009,5,2078,3
411010,1,608,5
411010,2,421,1
411010,3,1597,1
411010,4,64,2
411011,1,2078,10
411011,2,98,5
411011,3,265,1
411011,4,2508,2
412000,1,2169,10
412000,2,1036,1
412000,3,160,3
412000,4,1613,1
412001,1,2165,1
412001,2,1412,2
412001,3,1078,1
412001,4,444,7
412002,1,191,4
412003,1,2275,1
412004,1,2050,4
412004,2,218,6
412004,3,1921,3
412004,4,368,1
412005,1,1271,1
412005,2,2102,7
412005,3,740,1
412005,4,1098,1
412006,1,1771,3
412006,2,1655,2
412007,1,1755,1
412007,2,1280,1
412008,1,394,6
412008,2,2055,3
412008,3,1651,1
412008,4,1296,3
412009,1,1693,6
412010,1,126,2
412010,2,1574,10
412010,3,79,2
412010,4,718,1
412011,1,1261,10
412011,2,1707,1
412011,3,48,1
412011,4,85,3
412012,1,1365,2
412012,2,1242,1
412012,3,1590,2
412012,4,1168,2
412013,1,1612,1
412013,2,145,10
412014,1,1650,3
412015,1,1600,1
412015,2,124,2
413001,1,1689,10
413002,1,1613,3
413003,1,1645,3
413003,2,87,1
413003,3,1449,1
413005,1,2011,1
413007,1,1704,2
413007,2,1588,1
413007,3,1616,5
413008,1,148,1
413008,2,429,3
413009,1,1308,4
413010,1,1268,2
413010,2,2106,2
413011,1,1637,5
413011,2,1636,1
413011,3,1586,7
413012,1,1305,3
413012,2,2495,1
413013,1,1115,1
413013,2,1431,5
413014,1,65,1
413014,2,2174,1
413015,1,1779,1
413016,1,2106,3
413016,2,1636,2
413016,3,2104,3
413016,4,2468,1
413017,1,76,1
413018,1,1582,1
413018,2,2083,2
413020,1,1615,1
413023,1,166,3
414001,1,50,3
414001,2,373,1
414001,3,431,3
414001,4,737,6
414001,5,1332,2
414002,1,1694,2
414002,2,1590,6
414003,1,1361,4
414003,2,295,8
414003,3,56,6
414004,1,2160,4
414005,1,1719,2
414007,1,1295,1
414008,1,1289,5
414009,1,1438,6
414009,2,1990,3
414009,3,2006,1
414010,1,133,1
414011,1,1836,2
414011,2,1626,2
414012,1,1655,4
414012,2,63,4
414012,3,1029,4
414013,1,1913,2
414013,2,1586,2
414013,3,1628,10
414013,4,1603,1
414013,5,589,6
414013,6,1231,5
414013,7,1420,3
414014,1,1081,1
414015,1,2250,2
414016,1,1816,1
414016,2,1672,4
414017,1,1073,2
414017,2,1595,9
414017,3,1620,4
414018,1,2458,2
414018,2,361,1
414018,3,1699,10
414018,4,2099,4
414018,5,1648,6
414018,6,1020,1
414020,1,1298,5
414020,2,2013,5
414020,3,967,2
414021,1,1763,3
414022,1,2494,6
414022,2,1987,4
414022,3,1034,8
414023,1,1654,1
414024,1,2008,1
415000,1,1218,2
415000,2,618,3
415000,3,1649,8
415002,1,1239,2
415002,2,1115,3
415002,3,1015,2
415003,1,1262,2
415003,2,158,1
415004,1,1411,1
415004,2,124,5
415005,1,2082,4
415005,2,154,1
415005,3,1681,1
415007,1,108,1
415008,1,427,3
415009,1,87,8
415011,1,421,2
415012,1,1991,1
415012,2,733,3
415012,3,429,2
415012,4,1637,1
415014,1,2225,5
415014,2,462,3
415014,3,237,1
415014,4,386,6
415014,5,2170,3
415014,6,74,2
415015,1,1719,2
415015,2,451,1
415016,1,1766,1
415016,2,1640,3
415017,1,1071,1
415017,2,94,1
416000,1,960,1
416000,2,293,1
416001,1,438,3
416001,2,1772,2
416002,1,1968,3
416002,2,72,2
416002,3,495,2
416003,1,1191,3
416003,2,1447,2
416004,1,2059,2
416004,2,1591,8
416007,1,182,3
416007,2,419,8
416008,1,1612,3
416008,2,489,1
416008,3,122,5
416009,1,2143,2
416009,2,2038,5
416009,3,65,1
416010,1,1456,3
416010,2,2064,5
416010,3,356,2
416011,1,1639,2
416011,2,1597,2
416011,3,1520,6
416011,4,947,1
416012,1,2152,2
416013,1,2095,7
416013,2,228,1
416014,1,1658,4
416014,2,1563,2
416015,1,296,1
416015,2,424,7
416015,3,417,6
416015,4,146,2
416017,1,1862,4
416017,2,206,2
416018,1,1183,6
416019,1,1258,2
416020,1,1597,2
416021,1,428,7
416022,1,454,6
416024,1,610,4
416028,1,1966,3
416029,1,187,3
416029,2,61,2
416029,3,151,7
416029,4,637,2
416030,1,2000,5
417000,1,140,1
417000,2,422,6
417001,1,1779,3
417001,2,2043,3
417001,3,49,3
417001,4,72,10
418000,1,2085,7
418000,2,1641,1
418000,3,2173,7
418001,1,419,3
418001,2,1992,1
418001,3,1699,3
418002,1,460,1
418002,2,1776,3
418002,3,1801,1
418003,1,670,10
418005,1,1992,5
418006,1,1593,6
418006,2,2049,6
418007,1,2104,1
418007,2,2216,4
418008,1,491,2
418008,2,403,5
418009,1,1168,4
418011,1,2435,4
418012,1,1594,8
418012,2,1122,3
418013,1,737,3
419000,1,46,3
419000,2,2089,2
419000,3,1622,2
419000,4,46,4
419001,1,1602,3
419001,2,1619,4
419002,1,126,3
419003,1,2020,2
419003,2,443,1
419004,1,429,1
419004,2,1509,4
419004,3,100,1
419005,1,1644,6
419006,1,1007,1
419006,2,1687,1
419007,1,1580,1
419007,2,1580,1
419007,3,1254,1
419007,4,104,1
419008,1,138,4
419008,2,2103,1
419009,1,459,3
419009,2,2114,1
419009,3,145,4
419010,1,313,3
419011,1,1327,10
419011,2,405,4
419011,3,2096,2
419011,4,170,2
419012,1,1823,1
419012,2,450,3
419012,3,1643,4
419013,1,1278,4
419013,2,957,4
419014,1,1678,10
419014,2,1702,2
419014,3,687,1
419015,1,1622,1
419015,2,122,4
419016,1,2137,5
419016,2,434,2
420000,1,710,5
420001,1,1827,1
420001,2,2098,2
420003,1,1188,3
420003,2,94,7
420003,3,1084,3
420003,4,47,2
420003,5,538,1
420003,6,423,7
420003,7,1737,4
420005,1,2400,1
420005,2,78,4
420005,4,1600,1
420005,5,425,8
420005,6,1446,3
420006,1,1642,2
420006,2,1902,2
420006,3,1600,7
420007,1,305,1
420007,2,1550,1
420007,3,646,2
420007,4,962,2
420007,5,1590,6
420007,6,1314,3
420007,7,1965,3
420008,1,1574,1
420008,2,1377,6
420009,1,1671,10
420010,1,147,7
420010,2,188,3
420011,1,938,1
420012,1,2091,1
420013,1,2004,1
420013,2,802,1
420013,3,2113,4
420013,4,1181,3
420014,1,106,5
420014,2,1655,3
420014,3,1002,5
420015,1,1436,1
420015,2,1694,4
420016,1,69,1
420017,1,1208,2
420018,1,2383,1
420018,2,2006,7
420018,3,1594,4
420019,1,1703,10
420019,2,1485,9
420020,1,106,1
420020,2,1376,1
420020,3,458,1
420020,4,2061,5
420020,5,19,3
420020,6,43,6
420021,1,61,2
420021,2,103,1
420021,3,1027,4
421000,1,75,4
421000,2,1657,4
421000,3,1233,4
421001,1,1058,3
421003,1,1991,2
421003,2,1477,2
421003,3,2091,1
421004,1,1672,5
421004,2,1805,2
421006,1,118,1
421006,2,1303,3
421008,1,1806,8
421008,2,77,1
421009,1,1446,2
421009,2,1571,1
421009,3,1617,10
421010,1,1817,4
421012,1,1651,8
421012,2,168,9
421014,1,1291,1
421014,2,69,2
421014,3,28,7
421015,1,1601,4
421016,1,187,2
421016,3,2119,1
421016,4,1050,2
421017,1,1177,3
421017,2,128,8
421017,3,1463,4
421019,1,1623,5
421019,2,1741,4
421019,3,136,3
421019,4,1425,2
421020,1,1202,3
421020,2,115,6
421020,3,484,7
421021,1,1427,1
421022,1,1720,4
421022,2,1629,2
421022,3,1572,3
422000,1,1591,2
422000,2,1608,5
422000,3,169,3
422001,1,1687,2
422002,1,2033,3
422002,2,2085,7
422002,3,56,2
422002,4,68,7
422003,1,1693,3
422004,1,498,4
422004,2,1134,1
422004,3,437,3
422004,4,773,5
422005,1,127,1
422006,1,1749,1
422007,1,1419,3
422008,1,1378,4
422008,2,1634,5
422009,1,1585,6
422009,2,135,9
422010,1,410,1
422010,2,1679,1
422012,1,2124,9
422012,2,1342,4
422012,3,1587,5
422012,4,2104,1
422013,1,1489,2
422013,2,1630,6
423001,1,92,7
423001,2,69,6
423002,1,2039,1
423002,2,1187,7
423002,3,1657,1
423002,4,2265,5
423003,1,85,1
423003,2,1990,6
423003,3,130,2
423003,4,1085,1
423003,5,1630,2
423004,1,1250,2
423005,1,1170,3
423006,1,1636,4
423006,2,545,1
423007,1,1694,3
423008,1,1010,5
423008,2,2023,2
423008,3,1603,5
423009,1,1164,2
423010,1,1635,3
423010,2,309,6
423010,3,1313,3
423010,4,1520,3
423011,1,24,1
423012,1,131,5
423012,2,1724,1
