Order Number,Order Date,Delivery Date,CustomerKey,StoreKey,Currency Code
372004,1/7/2016,,711449,30,EUR
372005,1/7/2016,,302130,9,CAD
372006,1/7/2016,1/15/2016,2095742,0,USD
372007,1/7/2016,,1982994,61,USD
372008,1/7/2016,,1214363,53,USD
372010,1/7/2016,,784075,29,EUR
372011,1/7/2016,,739625,29,EUR
372012,1/7/2016,,195521,6,AUD
372013,1/7/2016,,1042966,38,GBP
372016,1/7/2016,,1170323,42,GBP
373000,1/8/2016,1/14/2016,1367439,0,USD
373002,1/8/2016,,1750554,48,USD
373003,1/8/2016,,2082534,56,USD
373004,1/8/2016,,460587,24,EUR
373005,1/8/2016,,1763365,65,USD
373007,1/8/2016,1/14/2016,351747,0,CAD
373008,1/8/2016,,536845,23,EUR
373009,1/8/2016,1/19/2016,1064519,0,GBP
373010,1/8/2016,,538801,27,EUR
373011,1/8/2016,,82415,4,AUD
374000,1/9/2016,,1971983,48,USD
374001,1/9/2016,,2050933,47,USD
374002,1/9/2016,,320030,8,CAD
374003,1/9/2016,,1188400,38,GBP
374005,1/9/2016,,239647,8,CAD
374006,1/9/2016,,1387959,65,USD
374007,1/9/2016,,800548,31,EUR
374008,1/9/2016,,789641,29,EUR
374009,1/9/2016,,728541,30,EUR
374010,1/9/2016,,665776,12,EUR
374011,1/9/2016,,174622,5,AUD
374012,1/9/2016,1/20/2016,1758208,0,USD
374013,1/9/2016,,733080,29,EUR
374015,1/9/2016,,1451748,55,USD
374016,1/9/2016,,1535357,45,USD
374017,1/9/2016,,1558964,63,USD
374018,1/9/2016,,1010049,38,GBP
374019,1/9/2016,,193216,6,AUD
375000,1/10/2016,1/18/2016,1084570,0,GBP
376000,1/11/2016,,1862500,43,USD
376001,1/11/2016,,813685,32,EUR
376003,1/11/2016,,797322,30,EUR
376004,1/11/2016,,1905050,45,USD
376005,1/11/2016,,305321,8,CAD
377000,1/12/2016,,1589958,64,USD
377002,1/12/2016,,1897822,50,USD
377003,1/12/2016,,1129200,40,GBP
377004,1/12/2016,,1136143,42,GBP
377005,1/12/2016,,1022980,37,GBP
377006,1/12/2016,1/20/2016,934781,0,GBP
377007,1/12/2016,,86126,6,AUD
378000,1/13/2016,,1062632,37,GBP
378001,1/13/2016,,1976355,66,USD
378002,1/13/2016,,1599716,45,USD
378003,1/13/2016,,774742,29,EUR
378004,1/13/2016,,368190,8,CAD
378005,1/13/2016,,1470803,44,USD
378006,1/13/2016,,917347,38,GBP
378007,1/13/2016,,707089,30,EUR
378008,1/13/2016,,1035789,39,GBP
378009,1/13/2016,,270736,8,CAD
378010,1/13/2016,,437389,19,EUR
379000,1/14/2016,,1171088,39,GBP
379001,1/14/2016,,1165542,40,GBP
379002,1/14/2016,1/24/2016,716015,0,EUR
379004,1/14/2016,1/27/2016,245912,0,CAD
379005,1/14/2016,,1104029,37,GBP
379008,1/14/2016,,793968,30,EUR
379009,1/14/2016,,1556602,61,USD
379011,1/14/2016,,1291414,48,USD
380000,1/15/2016,,1614172,57,USD
380001,1/15/2016,,1530756,66,USD
380003,1/15/2016,,627789,17,EUR
380004,1/15/2016,,1909649,66,USD
380005,1/15/2016,,770856,30,EUR
380006,1/15/2016,,549983,27,EUR
381001,1/16/2016,,780974,29,EUR
381002,1/16/2016,1/26/2016,2042097,0,USD
381003,1/16/2016,,1631876,61,USD
381004,1/16/2016,,1914255,53,USD
381005,1/16/2016,,1803346,50,USD
381006,1/16/2016,,1364334,64,USD
381007,1/16/2016,,1202659,48,USD
381008,1/16/2016,,982850,42,GBP
381009,1/16/2016,,1187611,42,GBP
381010,1/16/2016,,1554137,66,USD
381011,1/16/2016,,1302333,45,USD
381012,1/16/2016,1/23/2016,2072376,0,USD
381013,1/16/2016,1/21/2016,1984685,0,USD
383000,1/18/2016,,1768548,51,USD
383001,1/18/2016,,1584109,61,USD
383002,1/18/2016,,1650783,57,USD
383003,1/18/2016,,568160,19,EUR
383004,1/18/2016,,1670107,59,USD
384000,1/19/2016,,622740,17,EUR
384001,1/19/2016,,780674,29,EUR
384002,1/19/2016,,1263974,43,USD
384003,1/19/2016,,1369624,64,USD
384004,1/19/2016,1/28/2016,1316297,0,USD
384005,1/19/2016,,1022895,37,GBP
384006,1/19/2016,,247132,9,CAD
384007,1/19/2016,,14180,6,AUD
385000,1/20/2016,1/25/2016,1110691,0,GBP
385002,1/20/2016,,844832,31,EUR
385003,1/20/2016,,624165,18,EUR
385004,1/20/2016,,332332,8,CAD
385005,1/20/2016,,1251726,57,USD
385006,1/20/2016,,724534,28,EUR
385007,1/20/2016,,1273837,61,USD
385008,1/20/2016,,667318,16,EUR
385009,1/20/2016,,1720050,61,USD
385010,1/20/2016,,483118,20,EUR
386000,1/21/2016,,748749,30,EUR
386001,1/21/2016,1/30/2016,1912666,0,USD
386002,1/21/2016,,1525000,43,USD
386003,1/21/2016,,265825,8,CAD
386004,1/21/2016,,2085055,45,USD
386005,1/21/2016,2/2/2016,345812,0,CAD
386006,1/21/2016,,348548,10,CAD
386008,1/21/2016,,2093929,56,USD
386009,1/21/2016,,522652,19,EUR
386010,1/21/2016,,1775819,57,USD
386011,1/21/2016,1/28/2016,541598,0,EUR
387000,1/22/2016,1/26/2016,224434,0,CAD
387001,1/22/2016,,2011796,51,USD
387002,1/22/2016,,1368025,44,USD
387003,1/22/2016,,368610,8,CAD
387004,1/22/2016,,1307296,53,USD
387005,1/22/2016,,938399,36,GBP
387006,1/22/2016,,1616350,51,USD
387007,1/22/2016,,549936,24,EUR
388000,1/23/2016,,97611,5,AUD
388001,1/23/2016,1/27/2016,1730210,0,USD
388002,1/23/2016,,962533,36,GBP
388003,1/23/2016,,205077,10,CAD
388004,1/23/2016,1/31/2016,776431,0,EUR
388005,1/23/2016,,1893487,55,USD
388006,1/23/2016,,1098143,41,GBP
388007,1/23/2016,,1112613,42,GBP
388008,1/23/2016,,1170323,41,GBP
388009,1/23/2016,,930705,40,GBP
388010,1/23/2016,,1001228,39,GBP
388011,1/23/2016,,1702898,61,USD
388012,1/23/2016,,2086544,50,USD
388013,1/23/2016,1/30/2016,1559552,0,USD
388014,1/23/2016,,1671541,57,USD
390000,1/25/2016,,1699570,59,USD
390001,1/25/2016,,1301552,51,USD
390002,1/25/2016,2/6/2016,2029518,0,USD
390003,1/25/2016,,253233,10,CAD
390004,1/25/2016,,1321513,48,USD
390005,1/25/2016,,549766,22,EUR
391000,1/26/2016,,881876,32,EUR
391001,1/26/2016,2/2/2016,361945,0,CAD
391002,1/26/2016,,1201225,45,USD
391003,1/26/2016,,1427869,44,USD
391004,1/26/2016,,444160,19,EUR
391006,1/26/2016,,1885990,51,USD
391007,1/26/2016,,125950,6,AUD
392000,1/27/2016,,1302998,51,USD
392001,1/27/2016,,1227891,54,USD
392002,1/27/2016,,1855347,59,USD
392003,1/27/2016,2/4/2016,1471397,0,USD
392004,1/27/2016,2/1/2016,401785,0,EUR
392005,1/27/2016,,1458301,48,USD
392006,1/27/2016,,1310403,65,USD
392007,1/27/2016,,1079159,41,GBP
392008,1/27/2016,,992150,39,GBP
392009,1/27/2016,,1724829,54,USD
392010,1/27/2016,,651767,18,EUR
393001,1/28/2016,,530451,19,EUR
393002,1/28/2016,,792110,28,EUR
393003,1/28/2016,,1188400,38,GBP
393004,1/28/2016,2/9/2016,2007813,0,USD
393005,1/28/2016,,1112419,39,GBP
393006,1/28/2016,,1765324,51,USD
393007,1/28/2016,,1206405,45,USD
393008,1/28/2016,,1823888,57,USD
393009,1/28/2016,,1765579,56,USD
393010,1/28/2016,2/6/2016,313968,0,CAD
394000,1/29/2016,2/9/2016,1736019,0,USD
394001,1/29/2016,,186894,5,AUD
394002,1/29/2016,,452923,27,EUR
394003,1/29/2016,,431461,27,EUR
394004,1/29/2016,,602720,16,EUR
394005,1/29/2016,,1810401,65,USD
394006,1/29/2016,,1041067,37,GBP
394007,1/29/2016,,1337730,63,USD
395000,1/30/2016,,829132,32,EUR
395001,1/30/2016,,216550,10,CAD
395002,1/30/2016,,250944,8,CAD
395003,1/30/2016,,1296866,54,USD
395004,1/30/2016,,2063107,45,USD
395005,1/30/2016,,2082135,54,USD
395006,1/30/2016,,127193,5,AUD
395007,1/30/2016,,1714451,54,USD
395008,1/30/2016,,1401419,61,USD
395009,1/30/2016,,731556,29,EUR
395010,1/30/2016,,1549964,55,USD
395011,1/30/2016,,1114319,36,GBP
395012,1/30/2016,,1418448,65,USD
395014,1/30/2016,,1178352,42,GBP
397000,2/1/2016,,1677739,55,USD
397001,2/1/2016,,1140654,37,GBP
397002,2/1/2016,2/9/2016,1348253,0,USD
397003,2/1/2016,,760816,29,EUR
397004,2/1/2016,2/10/2016,1866421,0,USD
397005,2/1/2016,,1650783,64,USD
398000,2/2/2016,,1110229,42,GBP
398001,2/2/2016,,130214,5,AUD
398002,2/2/2016,,1822089,44,USD
398003,2/2/2016,,1355155,51,USD
398004,2/2/2016,,1001493,36,GBP
398005,2/2/2016,,1761462,63,USD
398006,2/2/2016,,857287,34,EUR
398007,2/2/2016,,1042883,42,GBP
399000,2/3/2016,,1887449,64,USD
399001,2/3/2016,,687377,12,EUR
399002,2/3/2016,,1476450,51,USD
399003,2/3/2016,,1232687,59,USD
399004,2/3/2016,2/11/2016,822698,0,EUR
399006,2/3/2016,,1363203,65,USD
399007,2/3/2016,,1191228,38,GBP
399009,2/3/2016,,784001,28,EUR
399010,2/3/2016,,906625,36,GBP
400000,2/4/2016,,1883755,61,USD
400001,2/4/2016,,264640,8,CAD
400002,2/4/2016,,363872,9,CAD
400003,2/4/2016,,446883,27,EUR
400004,2/4/2016,,106880,5,AUD
400005,2/4/2016,,2065817,65,USD
400006,2/4/2016,2/10/2016,1996959,0,USD
400007,2/4/2016,,1987941,63,USD
400009,2/4/2016,,1310047,45,USD
400010,2/4/2016,2/10/2016,606808,0,EUR
400011,2/4/2016,,1122248,37,GBP
401002,2/5/2016,,1787415,48,USD
401003,2/5/2016,,376977,8,CAD
401004,2/5/2016,,1565847,47,USD
401005,2/5/2016,,953489,41,GBP
401007,2/5/2016,,1774119,47,USD
402000,2/6/2016,,1086200,37,GBP
402001,2/6/2016,,732289,28,EUR
402002,2/6/2016,,1673191,47,USD
402004,2/6/2016,,1906975,54,USD
402005,2/6/2016,,941746,39,GBP
402006,2/6/2016,,1763642,64,USD
402007,2/6/2016,,957784,41,GBP
402008,2/6/2016,,1427596,61,USD
402009,2/6/2016,,783691,30,EUR
402010,2/6/2016,2/13/2016,1653624,0,USD
402011,2/6/2016,,1730479,59,USD
402012,2/6/2016,,1392371,51,USD
402013,2/6/2016,,729681,28,EUR
404000,2/8/2016,,1258466,54,USD
404001,2/8/2016,,495894,22,EUR
404002,2/8/2016,,1324963,57,USD
404004,2/8/2016,,368115,10,CAD
404005,2/8/2016,2/16/2016,295597,0,CAD
405000,2/9/2016,,1548406,47,USD
405001,2/9/2016,,1437592,50,USD
405002,2/9/2016,,474309,27,EUR
405003,2/9/2016,,582819,24,EUR
405005,2/9/2016,2/15/2016,39894,0,AUD
405006,2/9/2016,,622011,17,EUR
405007,2/9/2016,,1906549,57,USD
406000,2/10/2016,,1533894,50,USD
406001,2/10/2016,2/15/2016,1610147,0,USD
406002,2/10/2016,,1954639,47,USD
406003,2/10/2016,,1310201,65,USD
406004,2/10/2016,,1389462,43,USD
406005,2/10/2016,,1883820,61,USD
406006,2/10/2016,,761306,29,EUR
406007,2/10/2016,2/20/2016,1451764,0,USD
406008,2/10/2016,,1827243,66,USD
406009,2/10/2016,,332217,8,CAD
406010,2/10/2016,,490481,20,EUR
407000,2/11/2016,,526411,19,EUR
407001,2/11/2016,,993480,37,GBP
407002,2/11/2016,2/16/2016,1342915,0,USD
407003,2/11/2016,,960606,38,GBP
407004,2/11/2016,,307767,10,CAD
407005,2/11/2016,,2043928,59,USD
407006,2/11/2016,,516663,27,EUR
407007,2/11/2016,,224111,10,CAD
407009,2/11/2016,,367131,9,CAD
407010,2/11/2016,2/14/2016,1380756,0,USD
407011,2/11/2016,,1983649,50,USD
408001,2/12/2016,,322186,9,CAD
408002,2/12/2016,,1297155,43,USD
408003,2/12/2016,,1716565,61,USD
408004,2/12/2016,,784296,29,EUR
408005,2/12/2016,,1788888,57,USD
408006,2/12/2016,,1551319,61,USD
408007,2/12/2016,,656387,14,EUR
408008,2/12/2016,,326510,10,CAD
408010,2/12/2016,,1908175,47,USD
409000,2/13/2016,,1747015,64,USD
409001,2/13/2016,2/17/2016,1856221,0,USD
409002,2/13/2016,,1959938,66,USD
409003,2/13/2016,,919575,38,GBP
409004,2/13/2016,,1303360,53,USD
409005,2/13/2016,,1156077,42,GBP
409006,2/13/2016,,1345382,56,USD
409007,2/13/2016,,65163,5,AUD
409008,2/13/2016,,581812,20,EUR
409009,2/13/2016,,824810,32,EUR
409010,2/13/2016,,1179746,39,GBP
409011,2/13/2016,,471223,23,EUR
409012,2/13/2016,,2044567,57,USD
409013,2/13/2016,,1837049,64,USD
409014,2/13/2016,,448232,19,EUR
409015,2/13/2016,,613693,15,EUR
409016,2/13/2016,,1451919,63,USD
409018,2/13/2016,,1083191,37,GBP
409019,2/13/2016,,1157316,41,GBP
409020,2/13/2016,2/24/2016,250944,0,CAD
409021,2/13/2016,2/22/2016,730203,0,EUR
409022,2/13/2016,2/25/2016,944448,0,GBP
410000,2/14/2016,,1349131,51,USD
410001,2/14/2016,,316485,10,CAD
411000,2/15/2016,,761306,30,EUR
411001,2/15/2016,,1796950,63,USD
411002,2/15/2016,2/25/2016,1965605,0,USD
411003,2/15/2016,,1602459,65,USD
411004,2/15/2016,,1916734,61,USD
411005,2/15/2016,,211746,9,CAD
411006,2/15/2016,,1627570,63,USD
411007,2/15/2016,,950191,39,GBP
411009,2/15/2016,,676059,17,EUR
411010,2/15/2016,,1942072,59,USD
411011,2/15/2016,,1909649,47,USD
412000,2/16/2016,,1611938,59,USD
412001,2/16/2016,,1482513,43,USD
412002,2/16/2016,2/21/2016,1845084,0,USD
412003,2/16/2016,,311493,10,CAD
412004,2/16/2016,,1076568,37,GBP
412005,2/16/2016,2/21/2016,1838833,0,USD
412006,2/16/2016,,375538,10,CAD
412007,2/16/2016,,213985,9,CAD
412008,2/16/2016,,950191,41,GBP
412009,2/16/2016,,1375827,43,USD
412010,2/16/2016,,1428180,44,USD
412011,2/16/2016,,1698157,63,USD
412012,2/16/2016,,1813538,57,USD
412013,2/16/2016,,587649,24,EUR
412014,2/16/2016,,1474834,53,USD
412015,2/16/2016,,1240530,57,USD
413001,2/17/2016,,1857461,45,USD
413002,2/17/2016,,943159,37,GBP
413003,2/17/2016,,1049709,42,GBP
413005,2/17/2016,,1437978,64,USD
413007,2/17/2016,,986569,40,GBP
413008,2/17/2016,,703938,28,EUR
413009,2/17/2016,,1868588,44,USD
413010,2/17/2016,,122511,6,AUD
413011,2/17/2016,2/26/2016,246888,0,CAD
413012,2/17/2016,,980266,36,GBP
413013,2/17/2016,,1737226,55,USD
413014,2/17/2016,,1062632,37,GBP
413015,2/17/2016,,200992,9,CAD
413016,2/17/2016,,366856,8,CAD
413017,2/17/2016,,1239489,59,USD
413018,2/17/2016,,643186,17,EUR
413020,2/17/2016,,2096292,50,USD
413023,2/17/2016,,1461041,63,USD
414001,2/18/2016,,858760,31,EUR
414002,2/18/2016,,1290284,54,USD
414003,2/18/2016,,923165,37,GBP
414004,2/18/2016,,131976,4,AUD
414005,2/18/2016,,1094291,41,GBP
414007,2/18/2016,,2055720,50,USD
414008,2/18/2016,,1441384,48,USD
414009,2/18/2016,,1568316,66,USD
414010,2/18/2016,,1279593,63,USD
414011,2/18/2016,,1952169,51,USD
414012,2/18/2016,,368190,8,CAD
414013,2/18/2016,,1771296,64,USD
414014,2/18/2016,,1338452,54,USD
414015,2/18/2016,2/25/2016,1849306,0,USD
414016,2/18/2016,2/28/2016,574956,0,EUR
414017,2/18/2016,,728312,30,EUR
414018,2/18/2016,,737327,30,EUR
414020,2/18/2016,,1745187,56,USD
414021,2/18/2016,,544035,19,EUR
414022,2/18/2016,,328988,10,CAD
414023,2/18/2016,,1749380,65,USD
414024,2/18/2016,,1229784,50,USD
415000,2/19/2016,,1676628,56,USD
415002,2/19/2016,,758321,30,EUR
415003,2/19/2016,,1870877,55,USD
415004,2/19/2016,,1320851,63,USD
415005,2/19/2016,,1592800,66,USD
415007,2/19/2016,,1599307,51,USD
415008,2/19/2016,,2026025,63,USD
415009,2/19/2016,,402995,23,EUR
415011,2/19/2016,,450041,23,EUR
415012,2/19/2016,2/27/2016,390781,0,CAD
415014,2/19/2016,,70912,5,AUD
415015,2/19/2016,,1379027,44,USD
415016,2/19/2016,3/1/2016,38613,0,AUD
415017,2/19/2016,,1162503,37,GBP
416000,2/20/2016,2/27/2016,1566584,0,USD
416001,2/20/2016,2/26/2016,1076623,0,GBP
416002,2/20/2016,,1900678,43,USD
416003,2/20/2016,,916866,40,GBP
416004,2/20/2016,,1304093,45,USD
416007,2/20/2016,3/1/2016,413117,0,EUR
416008,2/20/2016,,757767,30,EUR
416009,2/20/2016,2/28/2016,1202046,0,USD
416010,2/20/2016,,1130812,42,GBP
416011,2/20/2016,,1049861,37,GBP
416012,2/20/2016,3/3/2016,446470,0,EUR
416013,2/20/2016,,1548410,59,USD
416014,2/20/2016,,724534,28,EUR
416015,2/20/2016,2/29/2016,723572,0,EUR
416017,2/20/2016,,591028,27,EUR
416018,2/20/2016,,610264,16,EUR
416019,2/20/2016,,2023185,64,USD
416020,2/20/2016,,1119720,38,GBP
416021,2/20/2016,,1156460,42,GBP
416022,2/20/2016,,135020,6,AUD
416024,2/20/2016,3/2/2016,1382226,0,USD
416028,2/20/2016,,403860,19,EUR
416029,2/20/2016,,1833460,66,USD
416030,2/20/2016,,481077,22,EUR
417000,2/21/2016,,832272,33,EUR
417001,2/21/2016,,241450,8,CAD
418000,2/22/2016,,1258917,44,USD
418001,2/22/2016,3/3/2016,990554,0,GBP
418002,2/22/2016,3/1/2016,2013268,0,USD
418003,2/22/2016,,1571124,55,USD
418005,2/22/2016,,828017,33,EUR
418006,2/22/2016,,1789699,61,USD
418007,2/22/2016,2/28/2016,724370,0,EUR
418008,2/22/2016,,927241,38,GBP
418009,2/22/2016,2/29/2016,1846024,0,USD
418011,2/22/2016,,1986927,64,USD
418012,2/22/2016,2/26/2016,996031,0,GBP
418013,2/22/2016,,831657,32,EUR
419000,2/23/2016,,1606675,47,USD
419001,2/23/2016,,1549412,47,USD
419002,2/23/2016,,1725975,66,USD
419003,2/23/2016,,1575457,59,USD
419004,2/23/2016,2/26/2016,946857,0,GBP
419005,2/23/2016,3/2/2016,1128295,0,GBP
419006,2/23/2016,,463947,27,EUR
419007,2/23/2016,,2030206,66,USD
419008,2/23/2016,,672896,18,EUR
419009,2/23/2016,,500332,24,EUR
419010,2/23/2016,,1275802,59,USD
419011,2/23/2016,,2015900,55,USD
419012,2/23/2016,,1013255,42,GBP
419013,2/23/2016,,625297,13,EUR
419014,2/23/2016,,1921651,44,USD
419015,2/23/2016,,1658273,65,USD
419016,2/23/2016,,1668828,50,USD
420000,2/24/2016,,1583170,63,USD
420001,2/24/2016,,1782076,55,USD
420003,2/24/2016,3/3/2016,424546,0,EUR
420005,2/24/2016,,1304549,44,USD
420006,2/24/2016,,679190,16,EUR
420007,2/24/2016,,2006644,64,USD
420008,2/24/2016,,325088,8,CAD
420009,2/24/2016,,277538,9,CAD
420010,2/24/2016,,2011796,44,USD
420011,2/24/2016,,1699480,61,USD
420012,2/24/2016,3/2/2016,2037919,0,USD
420013,2/24/2016,,473689,22,EUR
420014,2/24/2016,,831657,33,EUR
420015,2/24/2016,,1392224,48,USD
420016,2/24/2016,,1209643,51,USD
420017,2/24/2016,,337695,10,CAD
420018,2/24/2016,,1115485,36,GBP
420019,2/24/2016,,1157497,41,GBP
420020,2/24/2016,,143278,4,AUD
420021,2/24/2016,,944448,39,GBP
421000,2/25/2016,,1003788,38,GBP
421001,2/25/2016,,208556,8,CAD
421003,2/25/2016,,308410,10,CAD
421004,2/25/2016,,607841,15,EUR
421006,2/25/2016,,275718,8,CAD
421008,2/25/2016,3/3/2016,217102,0,CAD
421009,2/25/2016,,1886071,44,USD
421010,2/25/2016,,1984649,50,USD
421012,2/25/2016,,1558588,55,USD
421014,2/25/2016,3/1/2016,1319610,0,USD
421015,2/25/2016,,34850,5,AUD
421016,2/25/2016,,1332152,65,USD
421017,2/25/2016,,1068402,41,GBP
421019,2/25/2016,,1431767,53,USD
421020,2/25/2016,,811912,31,EUR
421021,2/25/2016,,1918131,45,USD
421022,2/25/2016,,1926067,43,USD
422000,2/26/2016,,3002,4,AUD
422001,2/26/2016,,543610,23,EUR
422002,2/26/2016,,350710,8,CAD
422003,2/26/2016,,1886071,44,USD
422004,2/26/2016,,972852,41,GBP
422005,2/26/2016,,1732661,61,USD
422006,2/26/2016,,910064,40,GBP
422007,2/26/2016,,3575,5,AUD
422008,2/26/2016,,1591998,63,USD
422009,2/26/2016,,1912902,50,USD
422010,2/26/2016,,1157063,41,GBP
422012,2/26/2016,,2065513,44,USD
422013,2/26/2016,,330125,10,CAD
423001,2/27/2016,,255536,8,CAD
423002,2/27/2016,,1716435,53,USD
423003,2/27/2016,3/15/2016,1969221,0,USD
423004,2/27/2016,,979318,42,GBP
423005,2/27/2016,,2055764,50,USD
423006,2/27/2016,,626560,12,EUR
423007,2/27/2016,,1831518,48,USD
423008,2/27/2016,,1112418,37,GBP
423009,2/27/2016,3/3/2016,1346611,0,USD
423010,2/27/2016,,126852,6,AUD
423011,2/27/2016,,1388042,45,USD
423012,2/27/2016,,690042,14,EUR
423013,2/27/2016,3/10/2016,206717,0,CAD
423014,2/27/2016,3/4/2016,1910016,0,USD
423015,2/27/2016,3/1/2016,2031187,0,USD
423016,2/27/2016,,1373708,51,USD
423018,2/27/2016,,118540,4,AUD
423019,2/27/2016,,908887,37,GBP
423020,2/27/2016,,1239780,53,USD
423021,2/27/2016,,517556,22,EUR
424000,2/28/2016,3/5/2016,1668458,0,USD
425000,2/29/2016,3/15/2016,1657885,0,USD
425001,2/29/2016,3/10/2016,510088,0,EUR
425002,2/29/2016,,1017264,40,GBP
425003,2/29/2016,,876454,32,EUR
425004,2/29/2016,,784001,28,EUR
425005,2/29/2016,,333947,10,CAD
425006,2/29/2016,,724534,28,EUR
425007,2/29/2016,,932629,38,GBP
426000,3/1/2016,,256475,9,CAD
426001,3/1/2016,3/10/2016,1178236,0,GBP
426002,3/1/2016,,1737921,59,USD
426003,3/1/2016,,695534,12,EUR
426004,3/1/2016,3/7/2016,1500391,0,USD
426005,3/1/2016,,1146045,40,GBP
426006,3/1/2016,,774742,30,EUR
426007,3/1/2016,3/10/2016,1680645,0,USD
427001,3/2/2016,,285421,8,CAD
427002,3/2/2016,,952345,39,GBP
427003,3/2/2016,,1433628,61,USD
427005,3/2/2016,,129494,2,AUD
427006,3/2/2016,,1490471,43,USD
427007,3/2/2016,,2037884,53,USD
427008,3/2/2016,,1410548,64,USD
427009,3/2/2016,,283881,10,CAD
427010,3/2/2016,,1391462,53,USD
428000,3/3/2016,,1361042,50,USD
428001,3/3/2016,,211746,8,CAD
428002,3/3/2016,,948175,42,GBP
428003,3/3/2016,,1208558,65,USD
428004,3/3/2016,,909339,37,GBP
428005,3/3/2016,,1438477,63,USD
428007,3/3/2016,,710555,28,EUR
428009,3/3/2016,,12160,6,AUD
428010,3/3/2016,,717070,30,EUR
428011,3/3/2016,,1302636,57,USD
429001,3/4/2016,,1968675,59,USD
429002,3/4/2016,,1513963,57,USD
429003,3/4/2016,,536368,24,EUR
429004,3/4/2016,,1482039,43,USD
429005,3/4/2016,,1163780,36,GBP
429006,3/4/2016,3/17/2016,1049326,0,GBP
429007,3/4/2016,,789600,28,EUR
430000,3/5/2016,,1736140,45,USD
430002,3/5/2016,,1389855,57,USD
430003,3/5/2016,3/11/2016,1478631,0,USD
